CITY_NAME,STATE_ABR,CITY_MARKET_ID,WAC
"Long Beach, CA",CA,32575,91
"Denver, CO",CO,30325,82
"Des Moines, IA",IA,31423,61
"Dickinson, ND",ND,31315,82
"St. Louis, MO",MO,31123,82
"CONCORD, NC",NC,32544,64
"Atlanta, GA",GA,30397,36
"Las Vegas, NV",NV,32211,82
"Salt Lake City, UT",UT,34614,91
"Philadelphia, PA",PA,34100,87
"Casper, WY",WY,31122,34
"Detroit, MI",MI,31295,82
"Minneapolis, MN",MN,31650,82
"Oklahoma City, OK",OK,33851,82
"Hartford, CT",CT,30529,82
"Scottsbluff, NE",NE,30558,63
"Dallas, TX",TX,30194,82
"Columbus, OH",OH,31066,82
"Phoenix, AZ",AZ,30466,82
"Rochester, NY",NY,34576,82
"Chicago, IL",IL,30977,44
"Gadsden, AL",AL,31840,82
"Cincinnati, OH",KY,33105,82
"Seattle, WA",WA,30559,22
"Dodge City, KS",KS,31283,85
"Orlando, FL",FL,31454,65
"Washington, DC",VA,30852,65
"Little Rock, AR",AR,32600,82
"Medford, OR",OR,33264,82
"Missoula, MT",MT,33486,82
"Albuquerque, NM",NM,30140,91
"Boston, MA",MA,30721,82
"Charleston, SC",SC,30994,82
"New Orleans, LA",LA,33495,82
"Indianapolis, IN",IN,32337,82
"Knoxville, TN",TN,35412,82
"Newark, NJ",NJ,31703,82
"Boise, ID",ID,30713,72
"Madison, WI",WI,33485,73
"Rapid City, SD",SD,34457,33
"Baltimore, MD",MD,30852,84
"Lihue, HI",HI,32982,82
"Anchorage, AK",AK,30299,82